housing_median_age,total_rooms,total_bedrooms,population,median_house_value
41,880,129,322,452600
21,7099,1106,2401,358500
52,1467,190,496,352100
52,1274,235,558,341300
52,1627,280,565,342200
52,919,213,413,269700
52,2535,489,1094,299200
52,3104,687,1157,241400
42,2555,665,1206,226700
52,3549,707,1551,261100
52,2202,434,910,281500
52,3503,752,1504,241800
52,2491,474,1098,213500
52,696,191,345,191300
52,2643,626,1212,159200
50,1120,283,697,140000
52,1966,347,793,152500
52,1228,293,648,155500
50,2239,455,990,158700
52,1503,298,690,162900
40,751,184,409,147500
42,1639,367,929,159800
52,2436,541,1015,113900
52,1688,337,853,99700
52,2224,437,1006,132600
41,535,123,317,107500
49,1130,244,607,93800
52,1898,421,1102,105500
50,2082,492,1131,108900
52,729,160,395,132000
49,1916,447,863,122300
52,2153,481,1168,115200
48,1922,409,1026,110400
49,1655,366,754,104900
51,2665,574,1258,109700
49,1215,282,570,97200
48,1798,432,987,104500
52,1511,390,901,103900
52,1470,330,689,191400
52,2432,715,1377,176000
52,1665,419,946,155400
51,936,311,517,150000
49,713,202,462,118800
52,950,202,467,188800
52,1443,311,660,184400
52,1656,420,718,182300
50,1125,322,616,142500
43,1007,312,558,137500
40,624,195,423,187500
40,946,375,700,112500
21,896,453,735,171900
43,1868,456,1061,93800
41,3221,853,1959,97500
52,1630,456,1162,104200
52,1170,235,701,87500
52,945,243,576,83100
52,1238,288,622,87500
52,1489,335,728,85300
52,1387,341,1074,80300
2,158,43,94,60000
52,1121,211,554,75700
49,135,29,86,75000
50,760,190,377,86100
52,1224,237,521,76100
48,828,182,392,73500
52,1010,209,604,78400
48,1455,354,788,84400
52,1027,244,492,81300
52,572,109,274,85000
46,2801,644,1823,129200
26,768,152,392,82500
46,935,297,582,95200
49,844,204,560,75000
46,12,4,18,67500
20,835,161,290,137500
17,1237,462,762,177500
36,2914,562,1236,102100
19,1207,243,721,108300
23,1745,374,1054,112500
38,684,176,344,131300
17,924,289,609,162500
52,210,56,183,112500
52,340,97,200,112500
52,386,164,346,137500
35,948,184,467,118800
52,773,143,377,98200
40,880,451,582,118800
10,875,348,546,162500
10,105,42,125,137500
52,249,78,396,500001
16,994,392,800,162500
52,215,87,904,137500
52,96,31,191,162500
27,1055,347,718,187500
39,1715,623,1327,179200
36,5329,2477,3469,130000
31,4596,1331,2048,183800
