IncidntNum,Descript,DayOfWeek,Date,Time
160018474,FOUND PROPERTY,Thursday,01-07-2016 00:00,10:00
160218997,FOUND PROPERTY,Tuesday,03/15/2016 12:00:00 AM,13:00
120725318,FOUND PROPERTY,Saturday,08/27/2016 12:00:00 AM,17:30
160024772,FOUND PROPERTY,Thursday,01-07-2016 00:00,15:00
160015947,FOUND PROPERTY,Wednesday,01-06-2016 00:00,21:05
160030757,FOUND PROPERTY,Tuesday,01-12-2016 00:00,08:40
160044526,FOUND PROPERTY,Saturday,01/16/2016 12:00:00 AM,14:30
160037446,FOUND PROPERTY,Thursday,01/14/2016 12:00:00 AM,08:00
160040239,FOUND PROPERTY,Wednesday,01/13/2016 12:00:00 AM,08:00
160043471,FOUND PROPERTY,Friday,01/15/2016 12:00:00 AM,13:30
160038381,FOUND PROPERTY,Thursday,01/14/2016 12:00:00 AM,09:30
160043368,FOUND PROPERTY,Saturday,01/16/2016 12:00:00 AM,01:59
160056195,FOUND PROPERTY,Wednesday,01/20/2016 12:00:00 AM,13:00
160056866,FOUND PROPERTY,Wednesday,01/20/2016 12:00:00 AM,09:52
160018894,FOUND PROPERTY,Thursday,01-07-2016 00:00,19:30
160053903,FOUND PROPERTY,Tuesday,01/19/2016 12:00:00 AM,20:00
160064198,FOUND PROPERTY,Saturday,01/23/2016 12:00:00 AM,01:14
160050432,FOUND PROPERTY,Sunday,01/17/2016 12:00:00 AM,15:20
160037452,FOUND PROPERTY,Thursday,01/14/2016 12:00:00 AM,09:00
160043578,FOUND PROPERTY,Saturday,01/16/2016 12:00:00 AM,05:30
160047047,FOUND PROPERTY,Sunday,01/17/2016 12:00:00 AM,12:30
160055539,FOUND PROPERTY,Wednesday,01/20/2016 12:00:00 AM,12:11
160057187,FOUND PROPERTY,Wednesday,01/20/2016 12:00:00 AM,18:30
160057228,FOUND PROPERTY,Wednesday,01/20/2016 12:00:00 AM,18:30
160022873,FOUND PROPERTY,Saturday,01-09-2016 00:00,07:30
160065055,FOUND PROPERTY,Saturday,01/23/2016 12:00:00 AM,09:30
160068316,FOUND PROPERTY,Monday,01/18/2016 12:00:00 AM,12:00
160087316,FOUND PROPERTY,Saturday,01/30/2016 12:00:00 AM,11:15
160091555,FOUND PROPERTY,Monday,01/18/2016 12:00:00 AM,15:00
160412923,FOUND PROPERTY,Friday,05/20/2016 12:00:00 AM,16:00
160414606,FOUND PROPERTY,Saturday,05/21/2016 12:00:00 AM,08:25
160096511,FOUND PROPERTY,Tuesday,02-02-2016 00:00,10:30
160081120,FOUND PROPERTY,Thursday,01/28/2016 12:00:00 AM,13:50
160081136,FOUND PROPERTY,Thursday,01/28/2016 12:00:00 AM,13:50
160087673,FOUND PROPERTY,Saturday,01/30/2016 12:00:00 AM,09:00
160029534,FOUND PROPERTY,Monday,01-11-2016 00:00,18:14
160079288,FOUND PROPERTY,Wednesday,01/27/2016 12:00:00 AM,21:06
160091618,FOUND PROPERTY,Sunday,01/31/2016 12:00:00 AM,17:30
160364170,FOUND PROPERTY,Tuesday,05-03-2016 00:00,19:30
160031200,FOUND PROPERTY,Sunday,01-10-2016 00:00,08:00
160106273,FOUND PROPERTY,Thursday,02-04-2016 00:00,10:00
160479672,FOUND PROPERTY,Monday,06/13/2016 12:00:00 AM,09:00
160110917,FOUND PROPERTY,Saturday,02-06-2016 00:00,23:30
160098175,FOUND PROPERTY,Tuesday,02-02-2016 00:00,08:30
160122592,FOUND PROPERTY,Wednesday,02-10-2016 00:00,16:00
160123512,FOUND PROPERTY,Sunday,02-07-2016 00:00,13:10
160125336,FOUND PROPERTY,Sunday,01/31/2016 12:00:00 AM,09:00
160126077,FOUND PROPERTY,Thursday,02-11-2016 00:00,21:45
160103592,FOUND PROPERTY,Thursday,02-04-2016 00:00,16:32
160113400,FOUND PROPERTY,Sunday,02-07-2016 00:00,21:00
160130830,FOUND PROPERTY,Thursday,02-11-2016 00:00,16:00
160120007,FOUND PROPERTY,Tuesday,02-09-2016 00:00,22:00
160126710,FOUND PROPERTY,Friday,02-12-2016 00:00,07:06
160128788,FOUND PROPERTY,Friday,02-12-2016 00:00,16:30
160141514,FOUND PROPERTY,Wednesday,02/17/2016 12:00:00 AM,06:19
160146718,FOUND PROPERTY,Thursday,02/18/2016 12:00:00 AM,20:42
160535644,FOUND PROPERTY,Friday,07-01-2016 00:00,23:00
160149035,FOUND PROPERTY,Friday,02/19/2016 12:00:00 AM,19:00
160149740,FOUND PROPERTY,Saturday,02/20/2016 12:00:00 AM,02:41
160151234,FOUND PROPERTY,Saturday,02/20/2016 12:00:00 AM,11:00
160152066,FOUND PROPERTY,Saturday,02/20/2016 12:00:00 AM,17:20
160157856,FOUND PROPERTY,Monday,02/22/2016 12:00:00 AM,19:00
160063582,FOUND PROPERTY,Friday,01/22/2016 12:00:00 AM,20:25
160155098,FOUND PROPERTY,Sunday,02/21/2016 12:00:00 AM,17:30
160159937,FOUND PROPERTY,Tuesday,02/23/2016 12:00:00 AM,16:11
160165677,FOUND PROPERTY,Wednesday,02/24/2016 12:00:00 AM,20:30
160168483,FOUND PROPERTY,Friday,02/26/2016 12:00:00 AM,14:21
160169908,FOUND PROPERTY,Saturday,02/27/2016 12:00:00 AM,03:08
160170052,FOUND PROPERTY,Saturday,02/27/2016 12:00:00 AM,01:08
160172343,FOUND PROPERTY,Saturday,02/27/2016 12:00:00 AM,22:33
160172365,FOUND PROPERTY,Saturday,02/27/2016 12:00:00 AM,19:24
160175206,FOUND PROPERTY,Monday,02/29/2016 12:00:00 AM,01:36
160573440,FOUND PROPERTY,Saturday,07/16/2016 12:00:00 AM,08:00
160176561,FOUND PROPERTY,Monday,02/29/2016 12:00:00 AM,13:30
160176759,FOUND PROPERTY,Monday,02/29/2016 12:00:00 AM,16:30
160177854,FOUND PROPERTY,Monday,02/29/2016 12:00:00 AM,17:00
160179537,FOUND PROPERTY,Monday,02/29/2016 12:00:00 AM,10:00
160562095,FOUND PROPERTY,Tuesday,07-12-2016 00:00,06:05
160187518,FOUND PROPERTY,Friday,03-04-2016 00:00,07:30
160187847,FOUND PROPERTY,Friday,03-04-2016 00:00,07:20
160188845,FOUND PROPERTY,Friday,03-04-2016 00:00,11:00
160192181,FOUND PROPERTY,Saturday,03-05-2016 00:00,11:17
160192915,FOUND PROPERTY,Sunday,03-06-2016 00:00,08:00
160193515,FOUND PROPERTY,Sunday,03-06-2016 00:00,13:25
160197404,FOUND PROPERTY,Monday,03-07-2016 00:00,13:30
