IncidntNum,Descript,DayOfWeek,Date,Time
160837713,LOST PROPERTY,Thursday,10/13/2016 12:00:00 AM,08:30
160837945,LOST PROPERTY,Saturday,10-08-2016 00:00,20:00
160838181,LOST PROPERTY,Thursday,10/13/2016 12:00:00 AM,13:00
160838307,LOST PROPERTY,Wednesday,10-12-2016 00:00,20:10
160839311,LOST PROPERTY,Friday,10/14/2016 12:00:00 AM,19:00
160840512,LOST PROPERTY,Tuesday,10-11-2016 00:00,12:30
160840669,LOST PROPERTY,Friday,10/14/2016 12:00:00 AM,23:30
160840766,LOST PROPERTY,Wednesday,10-12-2016 00:00,13:30
160841162,LOST PROPERTY,Friday,10/14/2016 12:00:00 AM,18:00
160841457,LOST PROPERTY,Friday,10/14/2016 12:00:00 AM,22:00
160841924,LOST PROPERTY,Saturday,10/15/2016 12:00:00 AM,00:01
160842897,LOST PROPERTY,Saturday,10/15/2016 12:00:00 AM,21:00
160843118,LOST PROPERTY,Sunday,10-09-2016 00:00,12:01
160843839,LOST PROPERTY,Sunday,10/16/2016 12:00:00 AM,14:00
160844207,LOST PROPERTY,Saturday,10/15/2016 12:00:00 AM,13:40
160844376,LOST PROPERTY,Saturday,10-01-2016 00:00,23:00
160845205,LOST PROPERTY,Thursday,10/13/2016 12:00:00 AM,20:00
160845493,LOST PROPERTY,Monday,10/17/2016 12:00:00 AM,08:15
160846203,LOST PROPERTY,Friday,10/14/2016 12:00:00 AM,01:00
160847449,LOST PROPERTY,Saturday,10-01-2016 00:00,10:00
160848102,LOST PROPERTY,Tuesday,10/18/2016 12:00:00 AM,02:00
160848481,LOST PROPERTY,Tuesday,09/27/2016 12:00:00 AM,00:01
160848798,LOST PROPERTY,Friday,07-08-2016 00:00,00:01
160848986,LOST PROPERTY,Wednesday,10-12-2016 00:00,12:45
160850828,LOST PROPERTY,Wednesday,10/19/2016 12:00:00 AM,00:15
160851713,LOST PROPERTY,Friday,04/15/2016 12:00:00 AM,00:01
160851804,LOST PROPERTY,Monday,10/17/2016 12:00:00 AM,20:00
160851939,LOST PROPERTY,Tuesday,10/18/2016 12:00:00 AM,13:00
160852131,LOST PROPERTY,Saturday,10/15/2016 12:00:00 AM,22:00
160852153,LOST PROPERTY,Wednesday,10/19/2016 12:00:00 AM,09:30
160852222,LOST PROPERTY,Saturday,10-08-2016 00:00,14:00
160852266,LOST PROPERTY,Wednesday,10/19/2016 12:00:00 AM,13:00
160852523,LOST PROPERTY,Tuesday,10/18/2016 12:00:00 AM,18:00
160852636,LOST PROPERTY,Tuesday,10/18/2016 12:00:00 AM,15:00
160853430,LOST PROPERTY,Wednesday,10/19/2016 12:00:00 AM,16:55
160854024,LOST PROPERTY,Wednesday,10/19/2016 12:00:00 AM,11:20
160854046,LOST PROPERTY,Thursday,10/20/2016 12:00:00 AM,02:00
160854654,LOST PROPERTY,Wednesday,10/19/2016 12:00:00 AM,15:00
160855339,LOST PROPERTY,Wednesday,10/19/2016 12:00:00 AM,10:00
160856779,LOST PROPERTY,Thursday,10/20/2016 12:00:00 AM,18:00
160857589,LOST PROPERTY,Thursday,10/20/2016 12:00:00 AM,22:00
160445560,LOST PROPERTY,Tuesday,05/31/2016 12:00:00 AM,03:00
160857799,LOST PROPERTY,Wednesday,10/19/2016 12:00:00 AM,00:45
160859949,LOST PROPERTY,Saturday,10/22/2016 12:00:00 AM,03:44
160860021,LOST PROPERTY,Thursday,10/20/2016 12:00:00 AM,11:00
160860695,LOST PROPERTY,Saturday,10/22/2016 12:00:00 AM,10:00
160863291,LOST PROPERTY,Sunday,10/23/2016 12:00:00 AM,01:30
160863310,LOST PROPERTY,Friday,10/21/2016 12:00:00 AM,15:00
160863893,LOST PROPERTY,Saturday,10/22/2016 12:00:00 AM,02:15
160865457,LOST PROPERTY,Saturday,10/22/2016 12:00:00 AM,21:00
160867005,LOST PROPERTY,Monday,10/24/2016 12:00:00 AM,17:30
160446950,LOST PROPERTY,Friday,05/27/2016 12:00:00 AM,07:00
160868677,LOST PROPERTY,Monday,10/24/2016 12:00:00 AM,22:00
160869073,LOST PROPERTY,Monday,10/24/2016 12:00:00 AM,07:40
160869261,LOST PROPERTY,Tuesday,03-01-2016 00:00,12:00
160869603,LOST PROPERTY,Tuesday,10/25/2016 12:00:00 AM,09:00
160870070,LOST PROPERTY,Sunday,10/23/2016 12:00:00 AM,12:30
160448025,LOST PROPERTY,Saturday,05/28/2016 12:00:00 AM,16:00
160871341,LOST PROPERTY,Friday,10/21/2016 12:00:00 AM,04:45
160871539,LOST PROPERTY,Monday,10/24/2016 12:00:00 AM,10:00
160871711,LOST PROPERTY,Wednesday,10/26/2016 12:00:00 AM,07:51
160871749,LOST PROPERTY,Wednesday,10/26/2016 12:00:00 AM,09:00
160872468,LOST PROPERTY,Friday,10/21/2016 12:00:00 AM,12:00
160872480,LOST PROPERTY,Sunday,10/16/2016 12:00:00 AM,17:30
160873808,LOST PROPERTY,Wednesday,10/26/2016 12:00:00 AM,20:30
160875622,LOST PROPERTY,Tuesday,10/25/2016 12:00:00 AM,20:00
160876028,LOST PROPERTY,Thursday,10/27/2016 12:00:00 AM,11:00
160876169,LOST PROPERTY,Wednesday,10/26/2016 12:00:00 AM,17:51
160876692,LOST PROPERTY,Thursday,10/27/2016 12:00:00 AM,09:47
160876755,LOST PROPERTY,Thursday,10/27/2016 12:00:00 AM,17:35
160449631,LOST PROPERTY,Thursday,05/26/2016 12:00:00 AM,15:00
160877872,LOST PROPERTY,Thursday,10/27/2016 12:00:00 AM,10:00
160878121,LOST PROPERTY,Thursday,10/20/2016 12:00:00 AM,13:00
160878331,LOST PROPERTY,Thursday,10/27/2016 12:00:00 AM,22:00
160878375,LOST PROPERTY,Friday,10/21/2016 12:00:00 AM,14:30
160878626,LOST PROPERTY,Thursday,09-08-2016 00:00,03:45
160879696,LOST PROPERTY,Friday,10/28/2016 12:00:00 AM,19:45
160880245,LOST PROPERTY,Friday,10/28/2016 12:00:00 AM,23:30
160880784,LOST PROPERTY,Saturday,10/29/2016 12:00:00 AM,07:00
160880790,LOST PROPERTY,Tuesday,10/25/2016 12:00:00 AM,16:00
160880916,LOST PROPERTY,Friday,10/28/2016 12:00:00 AM,18:30
160880938,LOST PROPERTY,Friday,10/28/2016 12:00:00 AM,15:30
160881390,LOST PROPERTY,Friday,10/28/2016 12:00:00 AM,19:00
160881685,LOST PROPERTY,Monday,10-10-2016 00:00,00:01
160882348,LOST PROPERTY,Saturday,10/29/2016 12:00:00 AM,04:00
160883631,LOST PROPERTY,Sunday,10/30/2016 12:00:00 AM,00:01
160883722,LOST PROPERTY,Saturday,10/29/2016 12:00:00 AM,09:30
160883879,LOST PROPERTY,Sunday,10/30/2016 12:00:00 AM,01:30
160450531,LOST PROPERTY,Thursday,05/26/2016 12:00:00 AM,09:30
160884695,LOST PROPERTY,Sunday,10/30/2016 12:00:00 AM,06:50
160885320,LOST PROPERTY,Friday,10/28/2016 12:00:00 AM,15:00
160886271,LOST PROPERTY,Friday,10/21/2016 12:00:00 AM,12:00
160887075,LOST PROPERTY,Wednesday,10/26/2016 12:00:00 AM,09:30
160887514,LOST PROPERTY,Monday,10/31/2016 12:00:00 AM,16:30
160889582,LOST PROPERTY,Monday,10/31/2016 12:00:00 AM,18:00
160889883,LOST PROPERTY,Monday,10/31/2016 12:00:00 AM,18:30
160889980,LOST PROPERTY,Tuesday,11-01-2016 00:00,12:00
160892290,LOST PROPERTY,Sunday,10/30/2016 12:00:00 AM,01:00
160976612,LOST PROPERTY,Wednesday,11/30/2016 12:00:00 AM,15:30
161007383,LOST PROPERTY,Friday,12-02-2016 00:00,23:00
160894995,LOST PROPERTY,Wednesday,11-02-2016 00:00,23:15
160895238,LOST PROPERTY,Wednesday,11-02-2016 00:00,01:20
160896032,LOST PROPERTY,Wednesday,11-02-2016 00:00,10:15
160876551,LOST PROPERTY,Monday,10/24/2016 12:00:00 AM,01:00
160897955,LOST PROPERTY,Friday,11-04-2016 00:00,07:30
160898492,LOST PROPERTY,Thursday,11-03-2016 00:00,15:30
160452894,LOST PROPERTY,Thursday,06-02-2016 00:00,19:20
160899484,LOST PROPERTY,Thursday,11-03-2016 00:00,01:00
160899917,LOST PROPERTY,Friday,11-04-2016 00:00,15:00
160902162,LOST PROPERTY,Saturday,11-05-2016 00:00,14:00
160903358,LOST PROPERTY,Saturday,11-05-2016 00:00,18:30
160903847,LOST PROPERTY,Friday,11-04-2016 00:00,12:00
160904500,LOST PROPERTY,Saturday,11-05-2016 00:00,00:01
160906534,LOST PROPERTY,Sunday,11-06-2016 00:00,13:00
160906584,LOST PROPERTY,Thursday,09-01-2016 00:00,00:01
160454618,LOST PROPERTY,Friday,06-03-2016 00:00,12:00
160906716,LOST PROPERTY,Saturday,11-05-2016 00:00,22:00
160907758,LOST PROPERTY,Monday,10/31/2016 12:00:00 AM,20:00
160908154,LOST PROPERTY,Monday,11-07-2016 00:00,14:00
160908314,LOST PROPERTY,Friday,11-04-2016 00:00,23:00
160908433,LOST PROPERTY,Thursday,11-03-2016 00:00,14:00
160909005,LOST PROPERTY,Monday,11-07-2016 00:00,10:00
160909384,LOST PROPERTY,Tuesday,11-08-2016 00:00,05:15
160909710,LOST PROPERTY,Monday,11-07-2016 00:00,07:30
160910240,LOST PROPERTY,Tuesday,11-08-2016 00:00,11:45
160911129,LOST PROPERTY,Saturday,10/22/2016 12:00:00 AM,23:00
160913222,LOST PROPERTY,Wednesday,11-09-2016 00:00,10:30
160913636,LOST PROPERTY,Sunday,09/25/2016 12:00:00 AM,12:00
160913664,LOST PROPERTY,Wednesday,11-09-2016 00:00,11:47
160914167,LOST PROPERTY,Wednesday,11-09-2016 00:00,15:30
160914236,LOST PROPERTY,Monday,11-07-2016 00:00,17:00
160914327,LOST PROPERTY,Wednesday,11-09-2016 00:00,17:45
160914361,LOST PROPERTY,Monday,10/31/2016 12:00:00 AM,22:00
160914634,LOST PROPERTY,Saturday,11-05-2016 00:00,16:30
160915864,LOST PROPERTY,Friday,11-04-2016 00:00,14:00
160916050,LOST PROPERTY,Monday,11-07-2016 00:00,13:00
160916351,LOST PROPERTY,Thursday,11-10-2016 00:00,13:55
160456125,LOST PROPERTY,Friday,06-03-2016 00:00,23:00
160917296,LOST PROPERTY,Thursday,11-10-2016 00:00,19:00
160917804,LOST PROPERTY,Wednesday,11-09-2016 00:00,18:00
160918313,LOST PROPERTY,Thursday,11-10-2016 00:00,06:00
160918448,LOST PROPERTY,Sunday,05-01-2016 00:00,08:00
160918830,LOST PROPERTY,Wednesday,11-09-2016 00:00,13:00
161032669,LOST PROPERTY,Friday,12/16/2016 12:00:00 AM,19:00
160919452,LOST PROPERTY,Thursday,11-10-2016 00:00,11:00
160919781,LOST PROPERTY,Friday,11-11-2016 00:00,14:00
160921617,LOST PROPERTY,Friday,11-11-2016 00:00,11:59
160922041,LOST PROPERTY,Friday,11-11-2016 00:00,16:00
160922091,LOST PROPERTY,Friday,11-11-2016 00:00,20:30
160923453,LOST PROPERTY,Saturday,11-12-2016 00:00,18:00
160458557,LOST PROPERTY,Saturday,06-04-2016 00:00,15:00
160924677,LOST PROPERTY,Tuesday,11-08-2016 00:00,08:00
160924928,LOST PROPERTY,Monday,11-07-2016 00:00,15:00
160926811,LOST PROPERTY,Sunday,11/13/2016 12:00:00 AM,10:00
160458933,LOST PROPERTY,Saturday,06-04-2016 00:00,15:00
160927091,LOST PROPERTY,Friday,11-04-2016 00:00,13:00
160927756,LOST PROPERTY,Thursday,11-10-2016 00:00,23:35
160930204,LOST PROPERTY,Monday,11/14/2016 12:00:00 AM,15:00
